,0
מגל,MAGGAL
מגן,MAGEN
מגן שאול,MAGEN SHA'UL
מגשימים,MAGSHIMIM
מדרך עוז,MIDRAKH OZ
מדרשת בן גוריון,MIDRESHET BEN GURION
מדרשת רופין,MIDRESHET RUPPIN
מודיעין עילית,MODI'IN ILLIT
מודיעין-מכבים-רעות,MODI'IN-MAKKABBIM-RE
מולדת,MOLEDET
מוצא עילית,MOZA ILLIT
מוקייבלה,MUQEIBLE
מורן,MORAN
מורשת,MORESHET
מזור,MAZOR
מזכרת בתיה,MAZKERET BATYA
מזרע,MIZRA
מזרעה,MAZRA'A
מחולה,MEHOLA
מחנה הילה,
מחנה טלי,
מחנה יהודית,
מחנה יוכבד,
מחנה יפה,
מחנה יתיר,MAHANE YATTIR
מחנה מרים,
מחנה תל נוף,
מחניים,MAHANAYIM
מחסיה,MAHSEYA
מטולה,METULA
מטע,MATTA
מי עמי,ME AMMI
מיטב,METAV
מייסר,MEISER
מיצר,MEZAR
מירב,MERAV
מירון,MERON
מישר,MESHAR
מיתר,METAR
מכורה,MEKHORA
מכחול,MAKCHUL
מכמורת,MIKHMORET
מכמנים,MIKHMANNIM
מלאה,MELE'A
מלילות,MELILOT
מלכיה,MALKIYYA
מלכישוע,MALKISHUA
מנוחה,MENUHA
מנוף,MANOF
מנות,MANOT
מנחמיה,MENAHEMYA
מנרה,MENNARA
מנשית זבדה,MANSHIYYET ZABDA
מסד,MASSAD
מסדה,MASSADA
מסילות,MESILLOT
מסילת ציון,MESILLAT ZIYYON
מסלול,MASLUL
מסעדה,MAS'ADE
מסעודין אל-עזאזמה,MAS'UDIN AL-'AZAZME
מעברות,MA'BAROT
מעגלים,MA'GALIM
מעגן,MA'AGAN
מעגן מיכאל,MA'AGAN MIKHA'EL
מעוז חיים,MA'OZ HAYYIM
מעון,MA'ON
מעונה,ME'ONA
מעיליא,MI'ELYA
מעין ברוך,MA'YAN BARUKH
מעין צבי,MA'YAN ZEVI
מעלה אדומים,MA'ALE ADUMMIM
מעלה אפרים,MA'ALE EFRAYIM
מעלה גלבוע,MA'ALE GILBOA
מעלה גמלא,MA'ALE GAMLA
מעלה החמישה,MA'ALE HAHAMISHA
מעלה לבונה,MA'ALE LEVONA
מעלה מכמש,MA'ALE MIKHMAS
מעלה עירון,MA'ALE IRON
מעלה עמוס,MA'ALE AMOS
מעלה שומרון,MA'ALE SHOMERON
מעלות-תרשיחא,MA'ALOT-TARSHIHA
מענית,MA'ANIT
מעש,MA'AS
מפלסים,MEFALLESIM
מצדות יהודה,MEZADOT YEHUDA
מצובה,MAZZUVA
מצליח,MAZLIAH
מצפה,MIZPA
"מצפה אבי""ב",MIZPE AVIV
מצפה אילן,
מצפה יריחו,MIZPE YERIHO
מצפה נטופה,MIZPE NETOFA
מצפה רמון,MIZPE RAMON
מצפה שלם,MIZPE SHALEM
מצר,MEZER
מקווה ישראל,MIQWE YISRA'EL
מרגליות,MARGALIYYOT
מרום גולן,MEROM GOLAN
מרחב עם,
מרחביה (מושב),MERHAVYA(MOSHAV)
מרחביה (קיבוץ),MERHAVYA(QIBBUZ)
מרכז שפירא,MERKAZ SHAPPIRA
משאבי שדה,MASH'ABBE SADE
משגב דב,MISGAV DOV
משגב עם,MISGAV AM
משהד,MESHHED
משואה,MASSU'A
משואות יצחק,MASSUOT YIZHAQ
משכיות,MASKIYYOT
משמר איילון,MISHMAR AYYALON
משמר דוד,MISHMAR DAWID
משמר הירדן,MISHMAR HAYARDEN
משמר הנגב,MISHMAR HANEGEV
משמר העמק,MISHMAR HAEMEQ
משמר השבעה,MISHMAR HASHIV'A
משמר השרון,MISHMAR HASHARON
משמרות,MISHMAROT
משמרת,MISHMERET
משען,MASH'EN
מתן,MATTAN
מתת,MATTAT
מתתיהו,MATTITYAHU
נאות גולן,NE'OT GOLAN
נאות הכיכר,NE'OT HAKIKKAR
נאות מרדכי,NE'OT MORDEKHAY
נאות סמדר,SHIZZAFON
נאעורה,NA'URA
נבטים,NEVATIM
נגבה,NEGBA
נגוהות,
נהורה,NEHORA
נהלל,NAHALAL
נהריה,NAHARIYYA
נוב,NOV
נוגה,NOGAH
נוה צוף,HALLAMISH
נווה,NAVE
נווה אבות,NEWE AVOT
נווה אור,NEWE UR
"נווה אטי""ב",NEWE ATIV
נווה אילן,NEWE ILAN
נווה איתן,NEWE ETAN
נווה דניאל,NEWE DANIYYEL
נווה זוהר,NEWE ZOHAR
נווה זיו,
נווה חריף,NEWE HARIF
נווה ים,NEWE YAM
נווה ימין,NEWE YAMIN
נווה ירק,NEWE YARAQ
נווה מבטח,NEWE MIVTAH
נווה מיכאל,NEWE MIKHA'EL
נווה שלום,NEWE SHALOM
נועם,NO'AM
נוף איילון,
נוף הגליל,NAZERAT ILLIT
נופים,NOFIM
נופית,NOFIT
נופך,NOFEKH
נוקדים,NOQEDIM
נורדיה,NORDIYYA
נורית,NURIT
נחושה,NEHUSHA
נחל עוז,NAHAL OZ
נחלה,NAHALA
נחליאל,NAHALI'EL
נחלים,NEHALIM
נחם,NAHAM
נחף,NAHEF
נחשולים,NAHSHOLIM
נחשון,NAHSHON
נחשונים,NAHSHONIM
נטועה,NETU'A
נטור,NATUR
נטע,NETA
נטעים,NETA'IM
נטף,NATAF
ניין,NEIN
"ניל""י",NILI
ניצן,NIZZAN
ניצן ב',NIZZAN B
ניצנה (קהילת חינוך),NIZZANA (QEHILAT HIN
ניצני סיני,NIZZANE SINAY
ניצני עוז,NIZZANE OZ
ניצנים,NIZZANIM
ניר אליהו,NIR ELIYYAHU
ניר בנים,NIR BANIM
ניר גלים,NIR GALLIM
ניר דוד (תל עמל),NIR DAWID (TEL AMAL)
"ניר ח""ן",NIR HEN
ניר יפה,NIR YAFE
ניר יצחק,NIR YIZHAQ
ניר ישראל,NIR YISRA'EL
ניר משה,NIR MOSHE
ניר עוז,NIR OZ
ניר עם,NIR AM
ניר עציון,NIR EZYON
ניר עקיבא,NIR AQIVA
ניר צבי,NIR ZEVI
נירים,NIRIM
נירית,NIRIT
נמרוד,
נס הרים,NES HARIM
נס עמים,NES AMMIM
נס ציונה,NES ZIYYONA
נעורים,NE'URIM
נעלה,NA'ALE
"נעמ""ה",NAAMA
נען,NA'AN
נערן,NIRAN
נצאצרה (שבט),NASASRA
נצר חזני,
נצר סרני,NEZER SERENI
נצרת,NAZARETH
נשר,NESHER
נתיב הגדוד,NETIV HAGEDUD
"נתיב הל""ה",NETIV HALAMED-HE
נתיב העשרה,NETIV HAASARA
נתיב השיירה,NETIV HASHAYYARA
נתיבות,NETIVOT
נתניה,NETANYA
סאג'ור,SAJUR
סאסא,SASA
סביון,SAVYON
סגולה,SEGULA
סואעד (חמרייה),SAWA'ID(HAMRIYYE)
סואעד (כמאנה) (שבט),SAWA'ID (KAMANE)
סולם,SULAM
סוסיה,SUSEYA
סופה,SUFA
סח'נין,SAKHNIN
סייד (שבט),SAYYID
סלמה,SALLAMA
סלעית,SAL'IT
סמר,SAMAR
סנסנה,
סעד,SA'AD
סעוה,
סער,SA'AR
ספיר,SAPPIR
סתריה,SITRIYYA
ע'ג'ר,GHAJAR
עבדון,AVDON
עברון,EVRON
עגור,AGUR
עדי,ADI
עדנים,ADANIM
עוזה,UZA
עוזייר,UZEIR
עולש,OLESH
עומר,OMER
